File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
125.py,11,11,11,0,6,62.875736866965624,6,12,18,7,14,21,18,87.56842503028855,3.5,306.4894876060099,0.029189475010096184,17.02719375588944
68.py,11,11,11,0,6,61.837845567366806,6,13,19,11,18,29,19,123.18989788986397,4.153846153846154,511.71188354251194,0.04106329929662132,28.428437974583996
153.py,9,9,9,0,6,68.35474277422851,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
92.py,8,8,8,0,7,65.23521306973774,4,12,16,8,18,26,16,104.0,3.0,312.0,0.034666666666666665,17.333333333333332
143.py,13,11,11,0,7,66.45365197511339,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
138.py,2,2,2,0,2,81.83377702795524,4,7,11,4,8,12,11,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731
107.py,10,10,10,0,4,64.47266270254313,4,10,14,7,13,20,14,76.14709844115208,2.6,197.98245594699543,0.025382366147050694,10.999025330388635
45.py,2,2,2,0,1,85.28853641650139,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
146.py,9,8,8,0,5,65.75053054968522,6,12,18,8,15,23,18,95.90827503317318,3.75,359.65603137439945,0.03196942501105773,19.98089063191108
102.py,9,9,9,0,4,65.26759794267554,6,7,13,8,14,22,13,81.40967379910403,6.0,488.45804279462413,0.027136557933034676,27.136557933034673
99.py,6,6,6,0,4,69.16369559805659,4,10,14,7,14,21,14,79.95445336320968,2.8,223.8724694169871,0.026651484454403226,12.437359412054839
106.py,15,14,14,0,5,61.65394646002831,4,8,12,6,12,18,12,64.52932501298082,3.0,193.58797503894246,0.02150977500432694,10.75488750216347
72.py,5,5,5,0,3,73.28322106537321,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
6.py,18,16,16,0,6,61.0405647670585,4,6,10,5,10,15,10,49.82892142331044,3.3333333333333335,166.09640474436813,0.016609640474436815,9.227578041353786
81.py,30,30,30,0,15,50.404298935307324,3,13,16,13,26,39,16,156.0,3.0,468.0,0.052,26.0
94.py,23,18,18,1,11,68.76477766600429,6,17,23,16,32,48,23,217.13097389073664,5.647058823529412,1226.1513819712188,0.07237699129691222,68.11952122062327
79.py,3,4,3,0,1,79.1757408017311,1,3,4,2,4,6,4,12.0,0.6666666666666666,8.0,0.004,0.4444444444444444
69.py,8,8,7,0,4,69.25165105945875,3,6,9,4,6,10,9,31.699250014423125,1.5,47.548875021634686,0.010566416671474375,2.6416041678685938
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
128.py,14,14,14,0,5,60.39348511143056,6,9,15,9,16,25,15,97.67226489021297,5.333333333333333,520.9187460811359,0.03255742163007099,28.93993033784088
117.py,11,9,9,0,5,70.17503824565665,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
98.py,2,2,2,0,4,81.45638094941927,4,8,12,4,8,12,12,43.01955000865388,2.0,86.03910001730776,0.014339850002884626,4.779950000961542
154.py,13,7,6,4,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
13.py,4,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
136.py,4,6,4,0,1,75.33449240912742,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
91.py,4,4,4,0,4,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36.py,6,6,6,0,5,68.23764225249928,6,14,20,8,16,24,20,103.72627427729671,3.4285714285714284,355.63294037930297,0.0345754247590989,19.757385576627943
120.py,3,4,3,0,2,79.59566600367761,2,2,4,2,3,5,4,10.0,1.5,15.0,0.0033333333333333335,0.8333333333333334
22.py,5,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31.py,9,9,9,0,5,65.74332169495808,5,8,13,6,12,18,13,66.60791492653966,3.75,249.77968097452373,0.022202638308846556,13.876648943029096
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
145.py,2,3,2,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
150.py,8,8,8,0,6,64.6991650358018,7,13,20,10,20,30,20,129.65784284662087,5.384615384615385,698.1576153279585,0.043219280948873624,38.786534184886584
12.py,7,5,5,0,2,82.37587162552974,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
17.py,14,12,12,0,5,66.54296801670199,1,4,5,3,6,9,5,20.89735285398626,0.75,15.673014640489694,0.0069657842846620865,0.8707230355827608
51.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
64.py,6,6,6,0,5,77.6115770799999,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
15.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
55.py,5,5,5,0,2,73.5864370401145,2,6,8,4,8,12,8,36.0,1.3333333333333333,48.0,0.012,2.6666666666666665
130.py,9,9,9,0,3,63.866617199809376,5,12,17,11,22,33,17,134.8862737612612,4.583333333333333,618.2287547391138,0.044962091253753736,34.346041929950765
109.py,7,7,7,0,4,69.022929159994,5,8,13,5,9,14,13,51.80615605397529,2.8125,145.70481390180552,0.01726871868465843,8.09471188343364
96.py,11,11,11,0,6,66.28610967776308,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
158.py,6,5,6,0,4,79.47333685781399,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
132.py,12,12,12,0,6,62.88340966354357,4,9,13,6,12,18,13,66.60791492653966,2.6666666666666665,177.62110647077242,0.022202638308846556,9.867839248376246
123.py,10,10,10,0,5,63.70525388614926,6,9,15,8,16,24,15,93.76537429460444,5.333333333333333,500.08199623789034,0.03125512476486815,27.78233312432724
28.py,5,3,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
