File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
139.py,23,11,10,0,2,90.60064969507525,5,10,15,7,14,21,15,82.0447025077789,3.5,287.15645877722613,0.02734823416925963,15.953136598734785
156.py,12,8,10,0,3,70.07591638631968,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
86.py,11,5,5,3,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
124.py,16,16,16,0,15,54.42534126372497,7,29,36,18,39,57,36,294.6857250822118,4.706896551724138,1387.0552232317898,0.09822857502740392,77.0586235128772
70.py,21,12,11,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
105.py,5,4,5,0,4,76.30624540738907,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
137.py,11,11,11,0,5,69.0541415215022,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
133.py,3,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
110.py,5,4,4,0,6,74.05054264672424,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
77.py,2,2,2,0,1,82.2340467055486,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
14.py,8,5,3,0,2,92.89463015477591,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
97.py,11,3,2,0,1,51.85269872430772,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
131.py,16,10,9,0,4,95.90796842559571,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
55.py,21,13,12,0,5,92.4745334020372,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
49.py,14,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
53.py,8,3,2,0,1,72.06769654236032,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
121.py,3,3,2,0,4,76.93656737153263,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
48.py,13,4,2,0,1,50.35217716849601,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
9.py,8,8,8,0,3,75.15517382051522,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
54.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
160.py,22,21,22,0,9,53.21548462664393,7,21,28,17,34,51,28,245.1751010249378,5.666666666666667,1389.3255724746475,0.08172503367497927,77.1847540263693
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
159.py,5,5,5,0,2,74.03923627635994,3,3,6,4,8,12,6,31.019550008653873,4.0,124.07820003461549,0.010339850002884624,6.893233335256416
37.py,5,7,5,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
92.py,5,5,5,0,7,69.68787903101313,4,12,16,8,18,26,16,104.0,3.0,312.0,0.034666666666666665,17.333333333333332
72.py,2,3,2,0,2,78.25712463555394,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
33.py,12,6,6,3,4,100.0,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
19.py,22,11,12,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100.py,4,4,4,0,4,75.4314227309275,4,4,8,4,8,12,8,36.0,4.0,144.0,0.012,8.0
126.py,11,9,9,2,4,94.54063798794357,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
52.py,11,6,5,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
50.py,12,6,4,0,4,85.16136508223659,3,16,19,8,16,24,19,101.95026032264605,1.5,152.92539048396907,0.03398342010754868,8.49585502688717
119.py,9,9,9,0,5,64.52581490959022,5,15,20,8,15,23,20,99.40434618240934,2.5,248.51086545602334,0.033134782060803114,13.806159192001296
108.py,10,5,4,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
163.py,15,5,4,1,5,72.05372096675657,6,10,16,6,12,18,16,72.0,3.6,259.2,0.024,14.399999999999999
38.py,24,14,12,4,8,85.53212000592252,5,19,24,16,30,46,24,210.90827503317323,3.9473684210526314,832.5326646046311,0.07030275834439108,46.251814700257285
5.py,12,8,6,0,3,98.08295535454113,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
142.py,18,9,8,0,4,89.65277092189106,3,9,12,6,12,18,12,64.52932501298082,2.0,129.05865002596164,0.02150977500432694,7.169925001442313
4.py,3,3,3,0,2,79.30066036278018,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
58.py,9,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
93.py,19,16,16,3,5,81.74839463746393,3,12,15,9,18,27,15,105.48604608143,2.25,237.3436036832175,0.03516201536047667,13.18575576017875
29.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127.py,12,8,9,2,4,90.98804606152854,6,10,16,6,12,18,16,72.0,3.6,259.2,0.024,14.399999999999999
104.py,6,6,6,0,4,74.15078956223692,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
99.py,6,6,6,0,2,75.30055572580265,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
68.py,9,7,7,1,4,93.31997547305718,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
135.py,6,6,6,0,3,73.15949612850216,3,4,7,3,5,8,7,22.458839376460833,1.875,42.11032383086406,0.007486279792153611,2.3394624350480036
71.py,23,8,7,3,4,72.236739192581,7,19,26,17,34,51,26,239.7224256251957,6.2631578947368425,1501.41940259991,0.07990747520839857,83.41218903332833
89.py,13,11,11,2,4,86.57871779801143,3,10,13,6,12,18,13,66.60791492653966,1.8,119.8942468677714,0.022202638308846556,6.660791492653967
20.py,12,10,10,0,3,65.8967395002637,2,8,10,5,10,15,10,49.82892142331044,1.25,62.28615177913805,0.016609640474436815,3.4603417655076694
87.py,7,8,7,0,4,72.30614077041155,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
25.py,23,14,13,0,4,90.37583171904964,6,4,10,6,12,18,10,59.794705707972525,9.0,538.1523513717527,0.019931568569324175,29.897352853986263
117.py,9,9,9,0,5,70.17503824565665,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
148.py,9,9,9,0,4,66.43225274485785,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.01850219859070546,6.852666144705727
62.py,10,3,2,0,2,59.93689225219502,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
134.py,2,2,2,0,3,81.4558693788895,4,7,11,5,8,13,11,44.97261104228487,2.2857142857142856,102.79453952522255,0.01499087034742829,5.710807751401252
42.py,8,3,2,0,2,71.9331936183837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
138.py,18,8,7,3,3,90.68734038957533,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
24.py,5,5,5,0,3,73.54898781898997,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
144.py,10,9,9,1,2,89.20636615897911,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
120.py,3,4,3,0,1,84.62436608827255,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
114.py,15,9,8,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
0.py,6,6,6,0,4,72.29745471743507,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
17.py,10,7,9,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32.py,3,3,3,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
101.py,4,3,3,2,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
41.py,22,3,2,2,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
35.py,8,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90.py,6,6,6,0,2,78.01508585192973,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
18.py,10,10,10,0,3,66.10654238431758,4,6,10,5,9,14,10,46.50699332842308,3.0,139.52097998526924,0.01550233110947436,7.75116555473718
116.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36.py,9,7,6,0,4,97.24892134334789,4,10,14,6,12,18,14,68.53238859703687,2.4,164.4777326328885,0.022844129532345624,9.13765181293825
47.py,13,8,7,0,2,93.71401806934145,6,9,15,8,16,24,15,93.76537429460444,5.333333333333333,500.08199623789034,0.03125512476486815,27.78233312432724
16.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
63.py,10,10,10,0,5,61.872716178950704,5,16,21,13,26,39,21,171.30037948837168,4.0625,695.9077916715099,0.05710012649612389,38.661543981750555
26.py,6,6,6,0,3,77.88058292795313,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
150.py,21,13,12,0,2,92.29438845510217,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
13.py,4,4,4,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
161.py,7,6,5,2,5,100.0,2,2,4,2,2,4,4,8.0,1.0,8.0,0.0026666666666666666,0.4444444444444444
109.py,13,11,10,0,4,65.2944584909663,3,7,10,5,8,13,10,43.18506523353572,1.7142857142857142,74.03154040034694,0.014395021744511906,4.11286335557483
151.py,3,2,2,0,5,80.4470553489811,5,7,12,5,11,16,12,57.359400011538504,3.9285714285714284,225.34050004532983,0.01911980000384617,12.518916669184991
130.py,11,10,9,0,3,62.24336759595486,6,13,19,13,26,39,19,165.66917302429982,6.0,994.0150381457989,0.05522305767476661,55.22305767476661
67.py,6,6,6,0,1,74.88063052385614,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
45.py,6,3,2,0,1,87.57780306496,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
88.py,10,10,10,0,4,65.05348742496452,4,9,13,6,11,17,13,62.907475208398566,2.4444444444444446,153.7738282871965,0.02096915840279952,8.542990460399805
152.py,15,3,2,0,2,55.65761347808438,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
15.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
125.py,8,7,7,0,5,68.67862335196351,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.01850219859070546,6.852666144705727
78.py,7,4,3,0,3,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
145.py,4,3,2,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
157.py,19,6,5,2,2,72.74000972545673,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
6.py,13,13,13,0,5,64.13071457845106,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
1.py,21,22,21,0,9,53.45217269290911,6,16,22,16,28,44,22,196.21499122004107,5.25,1030.1287039052156,0.06540499707334703,57.22937243917865
46.py,5,5,5,0,2,71.22984828404381,3,12,15,8,12,20,15,78.13781191217038,1.5,117.20671786825557,0.026045937304056792,6.511484326014198
162.py,12,7,6,0,2,100.0,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
96.py,14,13,13,0,3,63.08304722554197,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
153.py,12,5,5,5,4,100.0,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
122.py,20,5,3,2,4,49.54740276884659,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
30.py,3,3,2,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
95.py,5,5,5,0,5,76.6243038077103,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
83.py,6,3,2,0,1,84.25754660039047,3,8,11,4,8,12,11,41.51317942364757,1.5,62.26976913547136,0.01383772647454919,3.4594316186372978
80.py,8,8,8,0,6,64.59945329388394,5,15,20,10,21,31,20,133.97977094150824,3.5,468.9291982952788,0.04465992364716941,26.05162212751549
76.py,7,7,7,0,3,69.27576528494643,4,6,10,5,10,15,10,49.82892142331044,3.3333333333333335,166.09640474436813,0.016609640474436815,9.227578041353786
39.py,28,25,25,2,4,69.74228747750625,6,15,21,12,24,36,21,158.12342722003538,4.8,758.9924506561698,0.05270780907334513,42.1662472586761
129.py,33,25,25,1,4,64.61114963915027,10,20,30,15,26,41,30,201.18251441994926,6.5,1307.6863437296702,0.06706083813998309,72.649241318315
154.py,11,5,3,0,3,69.00261941002923,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
21.py,5,5,5,0,2,74.66308527157166,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
2.py,4,4,4,0,1,81.99083716851001,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
118.py,9,9,9,0,6,63.63584392863775,7,12,19,10,20,30,19,127.43782540330756,5.833333333333333,743.3873148526274,0.042479275134435855,41.29929526959041
143.py,10,9,9,0,3,66.56675566883446,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
106.py,18,15,15,0,3,59.87851723964644,6,13,19,8,16,24,19,101.95026032264605,3.6923076923076925,376.43173042207775,0.03398342010754868,20.912873912337652
75.py,28,16,15,3,7,86.88514879969831,6,17,23,10,20,30,23,135.7068586817104,3.5294117647058822,478.9653835825073,0.04523561956057014,26.60918797680596
74.py,5,5,5,0,4,79.47333685781399,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
56.py,10,10,10,0,5,66.88086676834547,2,6,8,4,7,11,8,33.0,1.1666666666666667,38.5,0.011,2.138888888888889
132.py,10,10,10,0,6,68.16756039161803,2,4,6,3,5,8,6,20.67970000576925,1.25,25.84962500721156,0.006893233335256416,1.43609027817842
10.py,23,14,9,3,6,87.37366444578203,5,8,13,7,10,17,13,62.907475208398566,3.125,196.5858600262455,0.02096915840279952,10.92143666812475
61.py,10,10,10,0,5,65.07330552638736,4,6,10,6,12,18,10,59.794705707972525,4.0,239.1788228318901,0.019931568569324175,13.28771237954945
149.py,6,5,4,2,3,100.0,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
