File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
121.py,8,5,5,4,4,100.0,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
48.py,9,7,6,6,1,99.61699544841088,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
9.py,7,7,6,0,2,76.55471099040834,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
54.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
160.py,28,22,22,2,9,69.47652206633016,7,23,30,19,38,57,30,279.69276394968557,5.782608695652174,1617.3538089264425,0.09323092131656185,89.85298938480236
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
159.py,8,8,8,0,2,69.33559663383471,3,4,7,4,8,12,7,33.68825906469125,3.0,101.06477719407376,0.011229419688230418,5.614709844115208
37.py,12,11,8,3,2,100.0,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
92.py,12,9,9,5,6,92.86545191485068,5,14,19,10,20,30,19,127.43782540330756,3.5714285714285716,455.13509072609844,0.042479275134435855,25.28528281811658
72.py,12,9,9,5,3,96.94432380514502,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
33.py,8,5,5,3,5,100.0,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
19.py,19,10,10,2,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100.py,12,9,9,2,3,89.77466205999254,4,9,13,7,14,21,13,77.70923408096293,3.111111111111111,241.762061585218,0.025903078026987644,13.431225643623222
126.py,19,15,15,9,4,93.0069868187939,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
52.py,8,3,2,0,2,71.9331936183837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
50.py,12,6,4,0,6,84.89235923428336,3,16,19,8,16,24,19,101.95026032264605,1.5,152.92539048396907,0.03398342010754868,8.49585502688717
119.py,14,14,14,0,6,62.61557094352466,3,5,8,5,10,15,8,45.0,3.0,135.0,0.015,7.5
108.py,21,16,16,4,3,85.6325695392166,5,9,14,7,11,18,14,68.53238859703687,3.0555555555555554,209.4045207131682,0.022844129532345624,11.633584484064901
163.py,18,12,12,4,3,92.06142604143426,4,6,10,4,8,12,10,39.863137138648355,2.6666666666666665,106.3016990363956,0.013287712379549451,5.905649946466422
38.py,14,12,12,0,8,59.24392455634642,5,19,24,16,30,46,24,210.90827503317323,3.9473684210526314,832.5326646046311,0.07030275834439108,46.251814700257285
5.py,16,10,10,4,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
142.py,15,11,11,4,5,88.43073841755873,7,17,24,15,26,41,24,187.98346252956745,5.352941176470588,1006.2644170700374,0.06266115417652249,55.90357872611319
4.py,19,7,6,2,2,84.42591545022593,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
58.py,9,3,2,0,1,72.06769654236032,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
93.py,19,14,14,3,4,86.51391689099874,2,8,10,5,10,15,10,49.82892142331044,1.25,62.28615177913805,0.016609640474436815,3.4603417655076694
29.py,6,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
127.py,31,22,22,4,7,77.38264303157148,8,15,23,12,20,32,23,144.75398259382442,5.333333333333333,772.0212405003969,0.048251327531274806,42.89006891668871
104.py,12,8,8,3,4,99.34261928582906,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
99.py,15,12,12,5,3,92.38554704456723,5,7,12,5,10,15,12,53.77443751081735,3.5714285714285716,192.0515625386334,0.017924812503605784,10.6695312521463
68.py,10,7,7,0,4,71.36279278800855,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
135.py,13,8,8,3,3,97.38292854109056,3,4,7,4,7,11,7,30.880904142633646,2.625,81.06237337441333,0.010293634714211216,4.503465187467407
71.py,12,9,9,3,4,88.92273822659394,8,21,29,18,36,54,29,262.33097373688895,6.857142857142857,1798.8409627672384,0.08744365791229632,99.93560904262435
89.py,23,20,20,6,7,83.45398009203234,4,10,14,8,16,24,14,91.37651812938249,3.2,292.404858014024,0.03045883937646083,16.244714334112444
20.py,23,13,13,3,3,87.9425765030228,3,7,10,5,10,15,10,49.82892142331044,2.142857142857143,106.77626019280808,0.016609640474436815,5.932014455156004
87.py,23,12,15,4,4,94.11426601946309,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
25.py,11,10,10,0,3,65.8967395002637,5,5,10,5,10,15,10,49.82892142331044,5.0,249.1446071165522,0.016609640474436815,13.841367062030677
