File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
162.py,8,6,6,0,2,78.01508585192973,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
96.py,15,14,13,0,3,62.38097169987514,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
153.py,8,7,7,0,1,76.68921391438496,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
122.py,10,8,8,0,3,69.09632185771457,2,7,9,4,7,11,9,34.86917501586544,1.0,34.86917501586544,0.011623058338621813,1.937176389770302
30.py,3,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
95.py,11,6,8,0,7,71.14128963604675,3,7,10,4,7,11,10,36.541209043760986,1.5,54.81181356564148,0.012180403014586996,3.0451007536467487
83.py,5,5,5,3,1,100.0,4,10,14,8,16,24,14,91.37651812938249,3.2,292.404858014024,0.03045883937646083,16.244714334112444
80.py,7,7,7,0,6,65.86448753980045,5,15,20,10,21,31,20,133.97977094150824,3.5,468.9291982952788,0.04465992364716941,26.05162212751549
76.py,2,2,2,0,3,79.48616227315424,5,10,15,7,15,22,15,85.95159310338741,3.75,322.31847413770276,0.02865053103446247,17.90658189653904
39.py,22,18,18,0,8,56.06475927251079,8,16,24,13,24,37,24,169.6436125266828,6.0,1017.8616751600969,0.0565478708422276,56.5478708422276
129.py,36,29,29,0,4,51.60230093632807,8,19,27,15,25,40,27,190.19550008653877,5.2631578947368425,1001.0289478238883,0.06339850002884626,55.61271932354935
154.py,3,2,2,0,1,85.28853641650139,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
21.py,9,6,6,0,2,72.93582841773419,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
2.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
118.py,15,12,11,1,7,77.98132694865897,7,12,19,10,19,29,19,123.18989788986397,5.541666666666667,682.6773508063295,0.04106329929662132,37.926519489240526
143.py,16,14,14,0,8,61.8429600039687,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
106.py,11,11,11,0,4,64.07314255384912,4,8,12,6,12,18,12,64.52932501298082,3.0,193.58797503894246,0.02150977500432694,10.75488750216347
75.py,14,13,13,0,4,60.273381970838685,6,16,22,10,20,30,22,133.78294855911892,3.75,501.68605709669595,0.044594316186372975,27.87144761648311
74.py,10,9,9,0,5,71.66251269972858,1,2,3,2,4,6,3,9.509775004326938,1.0,9.509775004326938,0.003169925001442313,0.5283208335737188
56.py,11,11,11,0,5,67.04095413533541,1,5,6,3,6,9,6,23.264662506490403,0.6,13.95879750389424,0.007754887502163467,0.7754887502163467
132.py,11,11,11,0,6,64.8000950668731,3,7,10,5,9,14,10,46.50699332842308,1.9285714285714286,89.6920585619588,0.01550233110947436,4.982892142331044
10.py,9,9,8,0,5,65.09432880222064,4,8,12,9,14,23,12,82.4541375165866,3.5,288.5894813080531,0.027484712505528867,16.032748961558507
61.py,12,10,10,0,5,66.88086676834547,2,6,8,4,7,11,8,33.0,1.1666666666666667,38.5,0.011,2.138888888888889
149.py,5,4,4,0,3,78.1265408788172,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
