File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
108.py,16,14,14,0,3,60.916049068438205,6,9,15,8,15,23,15,89.85848369899593,5.0,449.29241849497964,0.02995282789966531,24.960689916387757
136.py,8,6,6,0,7,74.52747486526776,2,2,4,2,4,6,4,12.0,2.0,24.0,0.004,1.3333333333333333
95.py,11,10,10,0,8,67.64758086241498,2,5,7,3,5,8,7,22.458839376460833,1.0,22.458839376460833,0.007486279792153611,1.2477132986922685
0.py,9,7,7,0,3,69.95433047022944,3,7,10,4,8,12,10,39.863137138648355,1.7142857142857142,68.33680652339717,0.013287712379549451,3.796489251299843
99.py,6,6,6,0,2,73.18680209898402,3,3,6,3,6,9,6,23.264662506490403,3.0,69.79398751947122,0.007754887502163467,3.877443751081734
12.py,16,11,11,0,4,69.28921068613067,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
69.py,16,12,12,0,6,62.892131844427,6,9,15,6,11,17,15,66.41714012534482,3.6666666666666665,243.52951379293097,0.02213904670844827,13.52941743294061
8.py,12,9,9,0,3,71.3248044092224,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
107.py,15,13,12,0,4,61.90862874635699,4,11,15,7,13,20,15,78.13781191217038,2.3636363636363638,184.68937361058454,0.026045937304056792,10.260520756143585
60.py,2,2,2,0,1,83.27641167936048,3,5,8,3,6,9,8,27.0,1.8,48.6,0.009,2.7
101.py,3,3,3,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
133.py,8,6,6,0,2,74.41979541019013,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
72.py,8,8,7,0,3,68.83055510409783,4,7,11,4,7,11,11,38.053747805010275,2.0,76.10749561002055,0.012684582601670092,4.228194200556697
139.py,7,7,7,0,2,71.4754535562128,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
56.py,11,10,10,0,5,66.88086676834547,2,6,8,4,7,11,8,33.0,1.1666666666666667,38.5,0.011,2.138888888888889
55.py,7,7,7,0,3,71.59192431348602,2,4,6,3,6,9,6,23.264662506490403,1.5,34.89699375973561,0.007754887502163467,1.938721875540867
66.py,3,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
49.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39.py,24,20,20,0,8,55.455520040375546,7,16,23,11,22,33,23,149.27754454988144,4.8125,718.3981831463044,0.04975918151662715,39.91101017479469
147.py,11,11,11,0,5,59.646430108941146,5,20,25,19,38,57,25,264.6998028171593,4.75,1257.3240633815067,0.08823326760571977,69.85133685452814
156.py,14,9,12,0,3,68.96007710115393,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
